original,standard
中国航天科技集团公司航天时代电子公司（704所）,中国航天科技集团有限公司第九研究院(704所)
航天长征火箭技术有限公司,中国航天科技集团有限公司第九研究院(704所)
西安微电子技术研究所,中国航天科技集团有限公司第九研究院(771所)
西安微电子技术研究所（航天771所）,中国航天科技集团有限公司第九研究院(771所)
中国空间技术研究院,中国航天科技集团有限公司第五研究院
中国空间技术研究院(航天五院),中国航天科技集团有限公司第五研究院
中国航天科技集团公司第五研究院,中国航天科技集团有限公司第五研究院
中国空间技术研究院510所,中国航天科技集团有限公司第五研究院(501所)
中国航天科技集团公司第五研究院（511 所）,中国航天科技集团有限公司第五研究院(511所)
上海航天技术研究院,中国航天科技集团有限公司第八研究院
上海航天技术研究院(航天八院),中国航天科技集团有限公司第八研究院
上海航天技术研究院（航天八院）,中国航天科技集团有限公司第八研究院
上海卫星工程研究所,中国航天科技集团有限公司第八研究院(509所)
上海无线电设备研究所,中国航天科技集团有限公司第八研究院(802所)
上海空间电源研究所,中国航天科技集团有限公司第八研究院(811所)
中国航天科技集团公司六院十一所,中国航天科技集团有限公司第六研究院(11所)
中国航天科技集团公司第六研究院（11所）,中国航天科技集团有限公司第六研究院(11所)
中国航天科技集团公司第六研究院（北京11所）,中国航天科技集团有限公司第六研究院(11所)
中国航天科技集团有限公司第六研究院第十一所,中国航天科技集团有限公司第六研究院(11所)
中国航天科技集团有限公司第六研究院第十一研究所,中国航天科技集团有限公司第六研究院(11所)
中国航天科技集团公司第十一研究院,中国航天科技集团有限公司第十一研究院
中国航天空气动力技术研究院,中国航天科技集团有限公司第十一研究院
中国航天科技集团第十二研究院,中国航天科技集团有限公司第十二研究院
中国航天系统科学与工程研究院,中国航天科技集团有限公司第十二研究院
北京信息控制研究所(航天710所),中国航天科技集团有限公司第十二研究院(710所)
航天动力技术研究院,中国航天科技集团有限公司第四研究院
中国航天科技集团公司第四研究院第四十二所,中国航天科技集团有限公司第四研究院(42所)
中国航空研究院601研究所,中国航空工业集团有限公司(601所)
中国航空研究院602研究所,中国航空工业集团有限公司(602所)
中国航空研究院603研究所,中国航空工业集团有限公司(603所)
中国航空研究院609研究所,中国航空工业集团有限公司(609所)
中国航空研究院第609研究所,中国航空工业集团有限公司(609所)
中国航空研究院610研究所,中国航空工业集团有限公司(610所)
中国航空研究院611研究所,中国航空工业集团有限公司(611所)
中国航空研究院613研究所,中国航空工业集团有限公司(613所)
中国航空研究院六一三研究所,中国航空工业集团有限公司(613所)
中国航空研究院618所,中国航空工业集团有限公司(618所)
中国航空研究院618研究所,中国航空工业集团有限公司(618所)
